De;Vers;Km;Minutes
1186 ST QUENTIN SCHUMANN SUPER;1186 ST QUENTIN SCHUMANN SUPER;0;0
1186 ST QUENTIN SCHUMANN SUPER;1267 CALAIS DELAROCHE SUPER;176;110
1186 ST QUENTIN SCHUMANN SUPER;1297 HARNES SUPER;90;65
1186 ST QUENTIN SCHUMANN SUPER;4313 CANTELEU SUPER;209;140
1186 ST QUENTIN SCHUMANN SUPER;4536 LILLE WAZEMMES MY AUCHAN;110;75
1186 ST QUENTIN SCHUMANN SUPER;4926 BILLY BERCLAU SUPER;102;70
1186 ST QUENTIN SCHUMANN SUPER;4977 RUE SUPER;153;105
1186 ST QUENTIN SCHUMANN SUPER;914 MARQUETTE LES PARTISANS DU GOUT;115;85
1186 ST QUENTIN SCHUMANN SUPER;ARRAS;86;65
1186 ST QUENTIN SCHUMANN SUPER;AUCHAN CITY TOURCOING;120;85
1186 ST QUENTIN SCHUMANN SUPER;AUCHAN LUXEMBOURG SUPPLY;308;205
1186 ST QUENTIN SCHUMANN SUPER;BEAUVAIS;138;150
1186 ST QUENTIN SCHUMANN SUPER;BETHUNE;102;70
1186 ST QUENTIN SCHUMANN SUPER;BOULOGNE;198;125
1186 ST QUENTIN SCHUMANN SUPER;CAEN CHRONO 352;332;215
1186 ST QUENTIN SCHUMANN SUPER;CALAIS;181;115
1186 ST QUENTIN SCHUMANN SUPER;CAMBRAI;53;60
1186 ST QUENTIN SCHUMANN SUPER;CERGY;178;120
1186 ST QUENTIN SCHUMANN SUPER;CERGY CHRONODRIVE 469;182;125
1186 ST QUENTIN SCHUMANN SUPER;CHERBOURG;448;295
1186 ST QUENTIN SCHUMANN SUPER;CHRONO BONDUES 4703;119;85
1186 ST QUENTIN SCHUMANN SUPER;CHRONO COMPIEGNE 4345;76;90
1186 ST QUENTIN SCHUMANN SUPER;CHRONO COUDEKERQUE 4242;178;125
1186 ST QUENTIN SCHUMANN SUPER;CHRONO CROIX 4154;114;80
1186 ST QUENTIN SCHUMANN SUPER;CHRONO ELEU DIT LEAUWETTE 4462;87;60
1186 ST QUENTIN SCHUMANN SUPER;CHRONO HALLENNES 4167;109;80
1186 ST QUENTIN SCHUMANN SUPER;CHRONO IFS;330;210
1186 ST QUENTIN SCHUMANN SUPER;CHRONO LAMBERSART 4424;115;85
1186 ST QUENTIN SCHUMANN SUPER;CHRONO MARCQ 4128;114;80
1186 ST QUENTIN SCHUMANN SUPER;CHRONO WASQUEHAL 4303;113;80
1186 ST QUENTIN SCHUMANN SUPER;CORMEILLES EN PARISIS CHRONODRIVE 413;173;125
1186 ST QUENTIN SCHUMANN SUPER;DIEPPE;192;140
1186 ST QUENTIN SCHUMANN SUPER;DIFFERDANGE;296;210
1186 ST QUENTIN SCHUMANN SUPER;DOUAI;69;75
1186 ST QUENTIN SCHUMANN SUPER;DRIVE ARRAS;86;60
1186 ST QUENTIN SCHUMANN SUPER;DRIVE BEAUVAIS;138;95
1186 ST QUENTIN SCHUMANN SUPER;DRIVE BETHUNE;102;70
1186 ST QUENTIN SCHUMANN SUPER;DRIVE BOULOGNE;182;120
1186 ST QUENTIN SCHUMANN SUPER;DRIVE CALAIS;181;115
1186 ST QUENTIN SCHUMANN SUPER;DRIVE CAMBRAI;53;60
1186 ST QUENTIN SCHUMANN SUPER;DRIVE CERGY;178;120
1186 ST QUENTIN SCHUMANN SUPER;DRIVE CHERBOURG;448;295
1186 ST QUENTIN SCHUMANN SUPER;DRIVE DIEPPE;192;140
1186 ST QUENTIN SCHUMANN SUPER;DRIVE DOUAI;69;75
