tag;latitude;longitude
1186 ST QUENTIN SCHUMANN SUPER;49.86111;3.30018
1267 CALAIS DELAROCHE SUPER;50.94635;1.86783
1297 HARNES SUPER;50.45406;2.90392
4313 CANTELEU SUPER;49.45048;1.03398
4536 LILLE WAZEMMES MY AUCHAN;50.62655;3.04881
4926 BILLY BERCLAU SUPER;50.5111;2.856
4977 RUE SUPER;50.27039;1.66984
914 MARQUETTE LES PARTISANS DU GOUT;50.68208;3.08086
ARRAS;50.29983;2.73467
AUCHAN CITY TOURCOING;50.72091;3.15908
AUCHAN LUXEMBOURG SUPPLY;49.49799;6.11185
BEAUVAIS;49.40977;2.11504
BETHUNE;50.52275;2.63019
BOULOGNE;50.82412;1.67404
CAEN CHRONO 352;49.15943;-0.36473
CALAIS;50.94428;1.80851
CAMBRAI;50.18438;3.25489
CERGY;49.03804;2.0815
CERGY CHRONODRIVE 469;49.05404;2.0256
CHERBOURG;49.60308;-1.6001
CHRONO AVELIN 4361;50.53908;3.07545
CHRONO BONDUES 4703;50.72257;3.12756
CHRONO COMPIEGNE 4345;49.3886;2.78515
CHRONO COUDEKERQUE 4242;51.01528;2.37774
CHRONO CROIX 4154;50.66514;3.14774
CHRONO ELEU DIT LEAUWETTE 4462;50.41898;2.8197
CHRONO HALLENNES 4167;50.60672;2.956
CHRONO IFS;49.14763;-0.34062
CHRONO LAMBERSART 4424;50.6594;3.01355
CHRONO MARCQ 4128;50.68259;3.08445
CHRONO VALENCIENNES 4370;50.36742;3.52955
CHRONO WASQUEHAL 4303;50.6522;3.12585
CORMEILLES EN PARISIS CHRONODRIVE 413;48.95959;2.20445
DIEPPE;49.90925;1.07847
DIFFERDANGE;49.52081;5.89188
DOUAI;50.3418;3.0995
DRIVE ARRAS;50.30397;2.72568
DRIVE BEAUVAIS;49.40947;2.11705
DRIVE BETHUNE;50.52286;2.63224
DRIVE BOULOGNE;50.73414;1.67866
DRIVE CALAIS;50.94395;1.81147
DRIVE CAMBRAI;50.18378;3.25302
DRIVE CERGY;49.03805;2.07873
DRIVE CHERBOURG;49.60431;-1.59949
DRIVE DIEPPE;49.91099;1.08093
DRIVE DOUAI;50.34046;3.09838
DRIVE DUNKERQUE;51.00416;2.28617
DRIVE DURY;49.86461;2.27848
DRIVE ENGLOS;50.63421;2.96974
DRIVE FACHES;50.58135;3.07952
DRIVE LE HAVRE;49.52537;0.10756
DRIVE LEERS;50.68095;3.22539
DRIVE LOUVROIL;50.25306;3.93817
DRIVE MONTIVILLIERS;49.53128;0.18915
DRIVE NOGENT SUR OISE;49.27721;2.48622
DRIVE NOYELLES;50.40771;2.98036
DRIVE NOYON;49.57002;2.97423
DRIVE OSNY;49.07795;2.07981
DRIVE PETITE FORET;50.37689;3.47816
DRIVE ROISSY;48.99318;2.51954
DRIVE RONCQ;50.74029;3.13826
DRIVE SCHWEIGHOUSE;48.83197;7.74328
DRIVE ST OMER;50.7329;2.26925
DRIVE ST QUENTIN;49.8568;3.25554
DRIVE TAVERNY;49.01304;2.22254
DRIVE VALENCIENNES;50.34437;3.51792
DRIVE VILLENEUVE D'ASCQ;50.61532;3.11987
DUNKERQUE;51.00595;2.27817
DURY;49.8624;2.27985
ENGLOS;50.63215;2.9667
ENT AMIENS BINAT;49.93203;2.28607
ENT AMIENS SAINT SAUVEUR FLEG;49.94861;2.21986
ENT AMIENS SAINT SAUVEUR PF;49.9532;2.22175
ENT AMIENS SUPER POULAINVILLE PGC;49.93726;2.29291
ENT CARVIN FL;50.47183;2.95944
ENT CARVIN PF;50.47183;2.95944
ENT IENA;50.58648;3.11676
ENT IENA1;50.58648;3.11676
ENT IENA2;50.58648;3.11676
ENT MEYZIEU MEDLEY SUD;45.77584;5.02123
ENT SAINGHIN1;50.58211;3.14851
ENT SERRIS 1;48.83732;2.77908
ENT SERRIS 2;48.83675;2.78106
ENT SOCOPAL DIEPPE;49.80254;1.22558
ENT V DHL;48.98594;2.53293
ENT V GEODIS;48.96579;2.44653
FACHES;50.58225;3.08041
FRANQUEVILLE CHRONODRIVE 4475;49.3989;1.17271
HERBLAY CHRONODRIVE 444;49.00283;2.17765
HIRSON;49.91281;4.09086
HOUILLES SUPER 1073;48.92329;2.20424
IFS CHRONODRIVE 4253;49.14768;-0.34062
ILLKIRCH;48.54405;7.74006
KIRCHBERG;49.63342;6.17015
LA CLOCHE D'OR;49.58306;6.12491
LA QUEUE LES YVELINES SUPER 1096;48.80379;1.77962
LAXOU;48.69158;6.12637
LE CHESNAY PARLY 2 SUPER 1144;48.82828;2.11444
LE HAVRE;49.52409;0.11132
LEERS;50.68087;3.22099
LES MUREAUX HALLES AUCHAN;48.97849;1.91191
LONGUEIL SAINTE MARIE SUPER 4315;49.35929;2.71847
LOUVROIL;50.25596;3.9373
MAUREPAS SUPER 4492;48.76149;1.94368
MERS LES BAINS;50.06229;1.40779
MERU;49.21792;2.14018
MONT SAINT MARTIN;49.54438;5.79711
MONTIVILLIERS;49.52737;0.19036
NANCY CENTRE;48.6814;6.19845
NOGENT SUR OISE;49.27204;2.48331
NOYELLES GODAULT;50.41277;2.97695
NOYON;49.57013;2.97642
OSNY;49.07754;2.07858
PETITE FORET;50.37541;3.47871
ROISSY;48.99243;2.52274
RONCQ;50.73782;3.13572
SCHWEIGHOUSE;48.8329;7.74166
SEMECOURT;49.19552;6.1468
SOCOPAL;49.67385;1.26404
SOISY;48.99201;2.2917
ST OMER;50.73589;2.27078
ST QUENTIN;49.86052;3.25234
STRASBOURG;48.59363;7.69587
TAVERNY;49.01509;2.21989
TOMBLAINE;48.68482;6.2218
VAL DE REUIL SUPER 1209;49.26965;1.20965
VALENCIENNES;50.34582;3.51889
VERNEUIL 1 VERGER SUPER 4981;48.9812;1.97414
VILLENEUVE 2;50.61757;3.12849
VIRY NOUREUIL;49.64383;3.25926
ENT ID LOGISTICS BREBIERES;50.34751162514121;3.0287073356853433
ENT ROUVROY;50.416104104427745;2.9153897674058022
